Financial year,Local authority name,Region,Carers of people in adult social care quality of life (Score (between 0 and 12)),Carers who found it easy to find information about services (Percentage),People in adult social care quality of life (Score (between -0.8 and 1.0)),People who use services who found it easy to find information (Percentage),"Requests resulting in a service (per 100,000 population)",Short term service provision (Percentage),Workforce turnover rate (Percentage),Council tax collection rates (in year) (Percentage),Council tax revenue per dwelling (GBP),Debt servicing as percentage of core spending power (Percentage),Level of band D council tax rates (GBP),Non-ringfenced reserves as percentage of net revenue expenditure (Percentage),Non-ringfenced reserves as percentage of service spend (Percentage),Nondomestic rates collection rates (in year) (Percentage),"Number of upheld complaints (per 100,000 population)",Social care spend as percentage of core spending power (Percentage),Total core spending power per dwelling (GBP),Total debt as percentage of core spending power (Percentage),Household waste recycling rate (Percentage),Recycling contamination rate (Percentage),Residual household waste (kg per household)
2016-17,rochdale,North West,8,67,0.425,80,1925,72.7,28.73509934,94.5,915.11,12.98448478,1380.25,119.5082063,97.07708089,98.3,2.8,64.55263852,1844.19,540.1090158,47.2,4.1,390.7
2017-18,rochdale,North West,7.415964523,61.35920177,0.408,77.1,2585,79.9,28.73509934,94.8,968.68,10.4,1449.12,78.3,92.6,98.7,3.7,52.4,1882.27,540.1090158,47.9,4.5,376.3
2018-19,rochdale,North West,7.6,66.7,0.398,65.2,2322,84.9,28.73509934,94.7,1026.8,12.2,1521.43,79.9,93.7,98.7,4.1,54.8,1890.49,227.8,48.6,4.2,372.6
2019-20,rochdale,North West,7.415964523,61.35920177,0.396,73,2342,86.1,28.73509934,94.6,1108.89,11.9,1582.14,79.7,84.8,98.4,3.1,59.5,1924.21,226.2,49.9,1.7,364.3
2020-21,rochdale,North West,7.415964523,61.35920177,0.402452128,71.01325167,2391,70.4,28.73509934,94.8,1166.4,11.7,1645.27,93.1,95,95.6,2.7,58.5,2031.37,228.5,48,8,425.3
2021-22,rochdale,North West,7.3,62.3,0.446,72,2768,80.7,42.3,93.5,1191.38,12,1727.37,99.2,103,95.7,5.8,57.5,2065.26,212,50.6,1.1,383
2015-16,rotherham,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,78.3,2366,86.1,28.73509934,97.3,877.97,12.98448478,1277.73,119.5082063,97.07708089,98.1,3.4,64.55263852,1727.52,540.1090158,40.9,7.8,572.1
2016-17,rotherham,Yorkshire and The Humber,7.8,64.5,0.379,73.4,2048,81.4,28.73509934,97.3,929.52,12.98448478,1328.2,119.5082063,97.07708089,98.3,3.1,64.55263852,1662.68,540.1090158,42.1,7.4,569
2017-18,rotherham,Yorkshire and The Humber,7.415964523,61.35920177,0.395,70.9,2098,88.5,28.73509934,97,983.03,10.1,1394.48,16.6,15.7,98.5,1.5,81.2,1700.09,540.1090158,43.6,5.3,544.7
2018-19,rotherham,Yorkshire and The Humber,7.7,66,0.419,73.3,2412,93.5,28.73509934,96.8,1052.11,9.3,1478.01,17.6,16.5,98.5,2.3,82.3,1726.44,393,44.6,1,521.8
2019-20,rotherham,Yorkshire and The Humber,7.415964523,61.35920177,0.394,56.4,1977,90.9,28.73509934,96.4,1109.07,9.2,1522.2,13.7,12.5,97.9,1.5,81.1,1743.63,385.2,45.4,5.4,481.3
2020-21,rotherham,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,71.01325167,2951,93.1,28.73509934,96.6,1148.77,11.6,1567.71,30.9,25.2,97,1.1,79.5,1830.4,378.1,43.3,7.7,506.8
2021-22,rotherham,Yorkshire and The Humber,7.5,61.8,0.41,58.5,2893,93.2,35.1,97.4,1180,11.9,1614.58,35.9,27.5,97.4,4.5,80.6,1868.23,349.7,45,6.7,498.4
2015-16,rutland,East Midlands,7.415964523,61.35920177,0.402452128,75.7,1454,87.3,28.73509934,99,1592.22,12.98448478,1430.51,119.5082063,97.07708089,98.9,0,64.55263852,1803.05,540.1090158,58.1,2.6,496
